,time,text,images,video
152,2021-02-13 20:26:00,"James Edwin Bennett III
February 7 at 1:28 PM ·

So true",['https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/145577476_5618447131502627_6283976723480630632_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=4WEVmHMyWMAAX95e_ZC&_nc_ht=scontent-lga3-1.xx&tp=14&oh=3e45e2b2e176944cb7ca658f1e646fe2&oe=60B1DE3F&manual_redirect=1'],None
153,2021-02-13 20:07:00,I had to get a new phone and lost all my contacts. If you want to send me your number please do so. Thank you,None,None
154,2021-02-13 16:10:00,No valentines =no drama,None,None
155,2021-01-28 18:22:00,OMG! I get my dogs back in a couple of weeks!!! I can't believe it....,None,None
156,2021-01-22 14:44:00,"Still true, more now than ever...

Brian Chadwell
January 22, 2019 at 6:52 PM ·

You think a lion waits his turn in the heirarchy? He takes his place when ready...",None,None
157,2019-01-22 18:52:00,You think a lion waits his turn in the heirarchy? He takes his place when ready...,None,None
158,2021-01-21 04:17:00,"Derren Brown
August 31, 2020 at 9:15 AM ·

Zombies, ice baths, fake money and planking – here are a few of our favourite Derren Brown feats of hypnosis. What are yours?",None,https://video-lga3-1.xx.fbcdn.net/v/t42.9040-2/10000000_379987822838129_2126777537651539968_n.mp4?_nc_cat=103&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=hlK8BQ22PkcAX8UvEGe&_nc_ht=video-lga3-1.xx&oh=24686db15f76ab89b67395d26a82d17e&oe=608AD9FA
159,2021-01-20 22:36:00,"I'm asking those who love the outdoors to post a picture on your page. A picture that YOU took. Just a pic. No description. The goal is to regain peace and harmony without negativity. Please copy the text, put a picture on YOUR page, and let's look at these beautiful pictures.

Here's mine.",['https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/140401197_4183062678373965_2065519132032348154_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=DcFA7yUMRc4AX_BVOqS&_nc_ht=scontent-lga3-1.xx&tp=14&oh=e48e47a810a90810d6fd7de4caa06fce&oe=60B06A4B&manual_redirect=1'],None
160,2021-01-20 22:14:00,"Lil Legend ""Bobby Ducote""
January 9 at 11:20 PM ·

On your last ride being a racer 💪🏼💯
R.I.P CALEB
PS if my friends don’t do this with me “on the street” i am going to haunt all y’all!!!!",None,https://video-lga3-1.xx.fbcdn.net/v/t42.1790-2/136180166_697068454330249_2805418596650139165_n.mp4?_nc_cat=104&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=UNyxQJfhg0kAX_9nL_4&_nc_ht=video-lga3-1.xx&oh=d715166ef943bee658ee9517bff213f6&oe=608AE10D
161,2021-01-20 18:27:00,"Christopher Reed
January 8 at 9:40 PM ·

Remember this day. No wars in 4 years. Job security. Oil independence . Gas is at under $2.10 gallon. Stock Market above 30K.
Post for reference.",None,None
162,2021-01-20 16:22:00,"Wow

Got Talent Global
November 15, 2020 at 5:00 AM ·

WOW! Breathtaking Performance!!!",None,https://video-lga3-1.xx.fbcdn.net/v/t42.1790-2/10000000_4284700761562399_7076950593155979998_n.mp4?_nc_cat=100&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im11dGVkdjJfc3ZlX3NkIn0%3D&_nc_ohc=EBVxGAoG1L0AX-PYOTp&tn=XSJoHRpLcgodN9vn&_nc_ht=video-lga3-1.xx&oh=33e0be9a0211ef0de941ac337a8bc875&oe=608AE2C1
163,2021-01-20 16:08:00,"Jason Clark is feeling amused.
November 27, 2020 at 10:39 AM ·

People play too much!! 🤣🤣🤣",None,https://video-lga3-1.xx.fbcdn.net/v/t42.1790-2/127661552_492178551761027_6030162715621153036_n.mp4?_nc_cat=106&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=qx-x47qwabEAX84VniK&_nc_ht=video-lga3-1.xx&oh=f2c2492deaaf210da3b2a8fd79596b2a&oe=608ADD1E
164,2021-01-19 23:21:00,"Car is a cock blocker🙃😉

Hueso CarWash
January 15 at 11:29 AM ·

oh no noo nooo
inst @2.jvviann",None,https://video-lga3-1.xx.fbcdn.net/v/t42.1790-2/139318143_438405940685292_3224653330131041292_n.mp4?_nc_cat=101&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=Jc_dnuceG-IAX_DCRK3&_nc_ht=video-lga3-1.xx&oh=8a921355a8cc1af6a35dbb8e45b0c76c&oe=608AE0FA
165,2021-01-19 23:16:00,"Kimber Lehman‎Joker and Harley Quinn Nation
January 7 at 2:38 AM ·

Dam straight",['https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/136688037_234072731627064_6673902214611951830_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=ca434c&efg=eyJpIjoidCJ9&_nc_ohc=p9cX3uFOUMUAX_UMch0&tn=A4dUl3_UoEApQ_KL&_nc_ht=scontent-lga3-1.xx&tp=14&oh=6c40f30b95cbee4628c57a12bfb6b11b&oe=60B15EAA&manual_redirect=1'],None
166,2021-01-19 23:13:00,"She used to care
January 11 at 5:30 PM ·",['https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/138379792_244164593734727_315812397757131659_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=RygJ4kEoVHMAX-VPcli&_nc_ht=scontent-lga3-1.xx&tp=14&oh=646b0b6301a94cadf007055cf281d7f8&oe=60B177F4&manual_redirect=1'],None
167,2021-01-19 15:51:00,None,None,None
168,2021-01-19 01:08:00,None,None,None
169,2021-01-18 23:04:00,None,None,None
170,2021-01-18 04:44:00,Larry Peoples . Bout to join you in the dungeon,None,None
171,2021-01-18 02:38:00,I don't trust people that sleep before 12.,None,None
